Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total
Total Nacional,01 Andalucía,,2025M05,"2,06"
Total Nacional,01 Andalucía,,2024M11,"1,93"
Total Nacional,01 Andalucía,,2024M08,"2,03"
Total Nacional,01 Andalucía,,2024M02,"1,76"
Total Nacional,01 Andalucía,,2023M08,"1,69"
Total Nacional,01 Andalucía,,2023M02,"1,61"
Total Nacional,01 Andalucía,,2022M08,"1,61"
Total Nacional,01 Andalucía,,2022M02,"1,40"
Total Nacional,01 Andalucía,,2021M08,"1,45"
Total Nacional,01 Andalucía,,2021M02,"1,41"
Total Nacional,01 Andalucía,,2020M08,"1,55"
Total Nacional,02 Aragón,,2025M05,"0,55"
Total Nacional,02 Aragón,,2024M11,"0,58"
Total Nacional,02 Aragón,,2024M08,"0,61"
Total Nacional,02 Aragón,,2024M02,"0,56"
Total Nacional,02 Aragón,,2023M08,"0,50"
Total Nacional,02 Aragón,,2023M02,"0,50"
Total Nacional,02 Aragón,,2022M08,"0,48"
Total Nacional,02 Aragón,,2022M02,"0,45"
Total Nacional,02 Aragón,,2021M08,"0,46"
Total Nacional,02 Aragón,,2021M02,"0,45"
Total Nacional,02 Aragón,,2020M08,"0,48"
Total Nacional,"03 Asturias, Principado de",,2025M05,"1,14"
Total Nacional,"03 Asturias, Principado de",,2024M11,"1,13"
Total Nacional,"03 Asturias, Principado de",,2024M08,"1,30"
Total Nacional,"03 Asturias, Principado de",,2024M02,"1,07"
Total Nacional,"03 Asturias, Principado de",,2023M08,"1,04"
Total Nacional,"03 Asturias, Principado de",,2023M02,"0,95"
Total Nacional,"03 Asturias, Principado de",,2022M08,"1,00"
Total Nacional,"03 Asturias, Principado de",,2022M02,"0,77"
Total Nacional,"03 Asturias, Principado de",,2021M08,"0,84"
Total Nacional,"03 Asturias, Principado de",,2021M02,"0,71"
Total Nacional,"03 Asturias, Principado de",,2020M08,"0,80"
Total Nacional,"04 Balears, Illes",,2025M05,"3,74"
Total Nacional,"04 Balears, Illes",,2024M11,"3,71"
Total Nacional,"04 Balears, Illes",,2024M08,"4,14"
Total Nacional,"04 Balears, Illes",,2024M02,"3,84"
Total Nacional,"04 Balears, Illes",,2023M08,"4,06"
Total Nacional,"04 Balears, Illes",,2023M02,"4,33"
Total Nacional,"04 Balears, Illes",,2022M08,"4,61"
Total Nacional,"04 Balears, Illes",,2022M02,"4,51"
Total Nacional,"04 Balears, Illes",,2021M08,"4,98"
Total Nacional,"04 Balears, Illes",,2021M02,"4,72"
Total Nacional,"04 Balears, Illes",,2020M08,"4,98"
Total Nacional,05 Canarias,,2025M05,"4,66"
Total Nacional,05 Canarias,,2024M11,"4,71"
Total Nacional,05 Canarias,,2024M08,"4,70"
Total Nacional,05 Canarias,,2024M02,"4,30"
Total Nacional,05 Canarias,,2023M08,"4,08"
Total Nacional,05 Canarias,,2023M02,"4,10"
Total Nacional,05 Canarias,,2022M08,"3,93"
Total Nacional,05 Canarias,,2022M02,"3,72"
Total Nacional,05 Canarias,,2021M08,"3,78"
Total Nacional,05 Canarias,,2021M02,"3,64"
Total Nacional,05 Canarias,,2020M08,"3,63"
Total Nacional,06 Cantabria,,2025M05,"2,01"
Total Nacional,06 Cantabria,,2024M11,"1,95"
Total Nacional,06 Cantabria,,2024M08,"2,26"
Total Nacional,06 Cantabria,,2024M02,"1,81"
Total Nacional,06 Cantabria,,2023M08,"1,80"
Total Nacional,06 Cantabria,,2023M02,"1,59"
Total Nacional,06 Cantabria,,2022M08,"1,75"
Total Nacional,06 Cantabria,,2022M02,"1,35"
Total Nacional,06 Cantabria,,2021M08,"1,50"
Total Nacional,06 Cantabria,,2021M02,"1,21"
Total Nacional,06 Cantabria,,2020M08,"1,36"
Total Nacional,07 Castilla y León,,2025M05,"0,45"
Total Nacional,07 Castilla y León,,2024M11,"0,45"
Total Nacional,07 Castilla y León,,2024M08,"0,48"
Total Nacional,07 Castilla y León,,2024M02,"0,41"
Total Nacional,07 Castilla y León,,2023M08,"0,38"
Total Nacional,07 Castilla y León,,2023M02,"0,36"
Total Nacional,07 Castilla y León,,2022M08,"0,36"
Total Nacional,07 Castilla y León,,2022M02,"0,33"
Total Nacional,07 Castilla y León,,2021M08,"0,33"
Total Nacional,07 Castilla y León,,2021M02,"0,31"
Total Nacional,07 Castilla y León,,2020M08,"0,34"
Total Nacional,08 Castilla - La Mancha,,2025M05,"0,39"
Total Nacional,08 Castilla - La Mancha,,2024M11,"0,39"
Total Nacional,08 Castilla - La Mancha,,2024M08,"0,40"
Total Nacional,08 Castilla - La Mancha,,2024M02,"0,35"
Total Nacional,08 Castilla - La Mancha,,2023M08,"0,31"
Total Nacional,08 Castilla - La Mancha,,2023M02,"0,31"
Total Nacional,08 Castilla - La Mancha,,2022M08,"0,29"
Total Nacional,08 Castilla - La Mancha,,2022M02,"0,27"
Total Nacional,08 Castilla - La Mancha,,2021M08,"0,27"
Total Nacional,08 Castilla - La Mancha,,2021M02,"0,26"
Total Nacional,08 Castilla - La Mancha,,2020M08,"0,27"
Total Nacional,09 Cataluña,,2025M05,"1,45"
Total Nacional,09 Cataluña,,2024M11,"1,35"
Total Nacional,09 Cataluña,,2024M08,"1,50"
Total Nacional,09 Cataluña,,2024M02,"1,34"
Total Nacional,09 Cataluña,,2023M08,"1,33"
Total Nacional,09 Cataluña,,2023M02,"1,18"
Total Nacional,09 Cataluña,,2022M08,"1,28"
Total Nacional,09 Cataluña,,2022M02,"1,28"
Total Nacional,09 Cataluña,,2021M08,"1,46"
Total Nacional,09 Cataluña,,2021M02,"1,41"
Total Nacional,09 Cataluña,,2020M08,"1,64"
Total Nacional,10 Comunitat Valenciana,,2025M05,"1,92"
Total Nacional,10 Comunitat Valenciana,,2024M11,"1,97"
Total Nacional,10 Comunitat Valenciana,,2024M08,"2,17"
Total Nacional,10 Comunitat Valenciana,,2024M02,"1,81"
Total Nacional,10 Comunitat Valenciana,,2023M08,"1,78"
Total Nacional,10 Comunitat Valenciana,,2023M02,"1,59"
Total Nacional,10 Comunitat Valenciana,,2022M08,"1,64"
Total Nacional,10 Comunitat Valenciana,,2022M02,"1,51"
Total Nacional,10 Comunitat Valenciana,,2021M08,"1,62"
Total Nacional,10 Comunitat Valenciana,,2021M02,"1,58"
Total Nacional,10 Comunitat Valenciana,,2020M08,"1,74"
Total Nacional,11 Extremadura,,2025M05,"0,29"
Total Nacional,11 Extremadura,,2024M11,"0,29"
Total Nacional,11 Extremadura,,2024M08,"0,29"
Total Nacional,11 Extremadura,,2024M02,"0,25"
Total Nacional,11 Extremadura,,2023M08,"0,23"
Total Nacional,11 Extremadura,,2023M02,"0,23"
Total Nacional,11 Extremadura,,2022M08,"0,23"
Total Nacional,11 Extremadura,,2022M02,"0,20"
Total Nacional,11 Extremadura,,2021M08,"0,20"
Total Nacional,11 Extremadura,,2021M02,"0,20"
Total Nacional,11 Extremadura,,2020M08,"0,21"
Total Nacional,12 Galicia,,2025M05,"1,14"
Total Nacional,12 Galicia,,2024M11,"1,12"
Total Nacional,12 Galicia,,2024M08,"1,25"
Total Nacional,12 Galicia,,2024M02,"1,02"
Total Nacional,12 Galicia,,2023M08,"1,03"
Total Nacional,12 Galicia,,2023M02,"0,92"
Total Nacional,12 Galicia,,2022M08,"0,99"
Total Nacional,12 Galicia,,2022M02,"0,79"
Total Nacional,12 Galicia,,2021M08,"0,84"
Total Nacional,12 Galicia,,2021M02,"0,71"
Total Nacional,12 Galicia,,2020M08,"0,78"
Total Nacional,"13 Madrid, Comunidad de",,2025M05,"0,63"
Total Nacional,"13 Madrid, Comunidad de",,2024M11,"0,70"
Total Nacional,"13 Madrid, Comunidad de",,2024M08,"0,76"
Total Nacional,"13 Madrid, Comunidad de",,2024M02,"0,66"
Total Nacional,"13 Madrid, Comunidad de",,2023M08,"0,57"
Total Nacional,"13 Madrid, Comunidad de",,2023M02,"0,56"
Total Nacional,"13 Madrid, Comunidad de",,2022M08,"0,54"
Total Nacional,"13 Madrid, Comunidad de",,2022M02,"0,53"
Total Nacional,"13 Madrid, Comunidad de",,2021M08,"0,60"
Total Nacional,"13 Madrid, Comunidad de",,2021M02,"0,61"
Total Nacional,"13 Madrid, Comunidad de",,2020M08,"0,68"
Total Nacional,"14 Murcia, Región de",,2025M05,"0,94"
Total Nacional,"14 Murcia, Región de",,2024M11,"1,00"
Total Nacional,"14 Murcia, Región de",,2024M08,"1,02"
Total Nacional,"14 Murcia, Región de",,2024M02,"0,87"
Total Nacional,"14 Murcia, Región de",,2023M08,"0,82"
Total Nacional,"14 Murcia, Región de",,2023M02,"0,81"
Total Nacional,"14 Murcia, Región de",,2022M08,"0,79"
Total Nacional,"14 Murcia, Región de",,2022M02,"0,72"
Total Nacional,"14 Murcia, Región de",,2021M08,"0,74"
Total Nacional,"14 Murcia, Región de",,2021M02,"0,74"
Total Nacional,"14 Murcia, Región de",,2020M08,"0,79"
Total Nacional,"15 Navarra, Comunidad Foral de",,2025M05,"0,50"
Total Nacional,"15 Navarra, Comunidad Foral de",,2024M11,"0,51"
Total Nacional,"15 Navarra, Comunidad Foral de",,2024M08,"0,54"
Total Nacional,"15 Navarra, Comunidad Foral de",,2024M02,"0,48"
Total Nacional,"15 Navarra, Comunidad Foral de",,2023M08,"0,41"
Total Nacional,"15 Navarra, Comunidad Foral de",,2023M02,"0,40"
Total Nacional,"15 Navarra, Comunidad Foral de",,2022M08,"0,40"
Total Nacional,"15 Navarra, Comunidad Foral de",,2022M02,"0,30"
Total Nacional,"15 Navarra, Comunidad Foral de",,2021M08,"0,32"
Total Nacional,"15 Navarra, Comunidad Foral de",,2021M02,"0,32"
Total Nacional,"15 Navarra, Comunidad Foral de",,2020M08,"0,35"
Total Nacional,16 País Vasco,,2025M05,"0,51"
Total Nacional,16 País Vasco,,2024M11,"0,51"
Total Nacional,16 País Vasco,,2024M08,"0,54"
Total Nacional,16 País Vasco,,2024M02,"0,48"
Total Nacional,16 País Vasco,,2023M08,"0,48"
Total Nacional,16 País Vasco,,2023M02,"0,43"
Total Nacional,16 País Vasco,,2022M08,"0,46"
Total Nacional,16 País Vasco,,2022M02,"0,39"
Total Nacional,16 País Vasco,,2021M08,"0,43"
Total Nacional,16 País Vasco,,2021M02,"0,39"
Total Nacional,16 País Vasco,,2020M08,"0,45"
Total Nacional,"17 Rioja, La",,2025M05,"0,64"
Total Nacional,"17 Rioja, La",,2024M11,"0,65"
Total Nacional,"17 Rioja, La",,2024M08,"0,68"
Total Nacional,"17 Rioja, La",,2024M02,"0,62"
Total Nacional,"17 Rioja, La",,2023M08,"0,60"
Total Nacional,"17 Rioja, La",,2023M02,"0,56"
Total Nacional,"17 Rioja, La",,2022M08,"0,58"
Total Nacional,"17 Rioja, La",,2022M02,"0,53"
Total Nacional,"17 Rioja, La",,2021M08,"0,56"
Total Nacional,"17 Rioja, La",,2021M02,"0,53"
Total Nacional,"17 Rioja, La",,2020M08,"0,57"
Total Nacional,18 Ceuta,,2025M05,"0,19"
Total Nacional,18 Ceuta,,2024M11,"0,20"
Total Nacional,18 Ceuta,,2024M08,"0,19"
Total Nacional,18 Ceuta,,2024M02,"0,14"
Total Nacional,18 Ceuta,,2023M08,"0,17"
Total Nacional,18 Ceuta,,2023M02,"0,16"
Total Nacional,18 Ceuta,,2022M08,"0,19"
Total Nacional,18 Ceuta,,2022M02,"0,18"
Total Nacional,18 Ceuta,,2021M08,"0,21"
Total Nacional,18 Ceuta,,2021M02,"0,18"
Total Nacional,18 Ceuta,,2020M08,"0,25"
Total Nacional,19 Melilla,,2025M05,"0,14"
Total Nacional,19 Melilla,,2024M11,"0,17"
Total Nacional,19 Melilla,,2024M08,"0,19"
Total Nacional,19 Melilla,,2024M02,"0,13"
Total Nacional,19 Melilla,,2023M08,"0,18"
Total Nacional,19 Melilla,,2023M02,"0,21"
Total Nacional,19 Melilla,,2022M08,"0,16"
Total Nacional,19 Melilla,,2022M02,"0,17"
Total Nacional,19 Melilla,,2021M08,"0,18"
Total Nacional,19 Melilla,,2021M02,"0,16"
Total Nacional,19 Melilla,,2020M08,"0,16"