Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Viviendas y plazas,Periodo,Total
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2024M02,727
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2023M08,641
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2023M02,629
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2022M08,592
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2022M02,539
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2021M08,544
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2021M02,492
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,Viviendas turísticas,2020M08,511
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2025M05,951
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2024M11,933
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2024M08,970
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2024M02,876
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2023M08,785
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2023M02,749
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2022M08,702
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2022M02,646
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2021M08,679
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2021M02,600
Total Nacional,08 Castilla - La Mancha,16 Cuenca,Viviendas turísticas,2020M08,643
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2025M05,679
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2024M11,683
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2024M08,700
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2024M02,590
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2023M08,522
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2023M02,489
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2022M08,491
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2022M02,469
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2021M08,466
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2021M02,438
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,Viviendas turísticas,2020M08,447
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2025M05,"1,668"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2024M11,"1,686"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2024M08,"1,646"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2024M02,"1,455"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2023M08,"1,29"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2023M02,"1,216"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2022M08,"1,148"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2022M02,"1,045"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2021M08,"1,029"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2021M02,"1,059"
Total Nacional,08 Castilla - La Mancha,45 Toledo,Viviendas turísticas,2020M08,"1,139"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2025M05,"18,113"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2024M11,"18,157"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2024M08,"18,69"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2024M02,"16,768"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2023M08,"14,713"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2023M02,"14,188"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2022M08,"14,807"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2022M02,"18,953"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2021M08,"20,763"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2021M02,"22,635"
Total Nacional,09 Cataluña,08 Barcelona,Viviendas turísticas,2020M08,"25,956"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2025M05,"22,998"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2024M11,"20,11"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2024M08,"23,261"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2024M02,"20,721"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2023M08,"21,632"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2023M02,"18,498"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2022M08,"20,298"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2022M02,"18,033"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2021M08,"21,438"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2021M02,"19,137"
Total Nacional,09 Cataluña,17 Girona,Viviendas turísticas,2020M08,"22,106"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2025M05,"2,725"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2024M11,"2,83"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2024M08,"2,953"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2024M02,"2,827"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2023M08,"2,783"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2023M02,"2,669"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2022M08,"2,568"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2022M02,"2,481"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2021M08,"2,592"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2021M02,"2,37"
Total Nacional,09 Cataluña,25 Lleida,Viviendas turísticas,2020M08,"2,449"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2025M05,"13,015"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2024M11,"11,773"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2024M08,"13,801"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2024M02,"12,282"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2023M08,"12,898"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2023M02,"10,354"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2022M08,"11,592"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2022M02,"10,121"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2021M08,"11,7"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2021M02,"10,504"
Total Nacional,09 Cataluña,43 Tarragona,Viviendas turísticas,2020M08,"12,688"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2025M05,"40,273"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2024M11,"41,179"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2024M08,"44,589"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2024M02,"38,007"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2023M08,"37,962"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2023M02,"33,115"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2022M08,"34,061"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2022M02,"31,946"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2021M08,"33,776"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2021M02,"33,391"
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,Viviendas turísticas,2020M08,"35,716"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2025M05,"7,659"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2024M11,"7,273"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2024M08,"8,704"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2024M02,"6,807"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2023M08,"7,02"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2023M02,"5,527"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2022M08,"6,1"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2022M02,"4,914"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2021M08,"5,69"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2021M02,"4,75"
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,Viviendas turísticas,2020M08,"5,574"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2025M05,"15,258"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2024M11,"16,293"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2024M08,"17,853"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2024M02,"14,599"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2023M08,"13,355"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2023M02,"11,308"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2022M08,"11,53"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2022M02,"10,543"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2021M08,"11,581"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2021M02,"11,616"
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,Viviendas turísticas,2020M08,"13,348"
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2025M05,657
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2024M11,661
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2024M08,657
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2024M02,550
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2023M08,493
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2023M02,462
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2022M08,430
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2022M02,338
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2021M08,326
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2021M02,330
Total Nacional,11 Extremadura,06 Badajoz,Viviendas turísticas,2020M08,384
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2025M05,"1,348"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2024M11,"1,372"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2024M08,"1,367"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2024M02,"1,209"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2023M08,"1,099"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2023M02,"1,058"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2022M08,"1,048"
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2022M02,944
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2021M08,963
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2021M02,938
Total Nacional,11 Extremadura,10 Cáceres,Viviendas turísticas,2020M08,982
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2025M05,"7,114"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2024M11,"7,156"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2024M08,"8,129"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2024M02,"6,66"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2023M08,"6,694"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2023M02,"5,628"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2022M08,"6,109"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2022M02,"4,981"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2021M08,"5,244"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2021M02,"4,536"
Total Nacional,12 Galicia,"15 Coruña, A",Viviendas turísticas,2020M08,"4,963"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2025M05,"2,751"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2024M11,"2,679"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2024M08,"2,998"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2024M02,"2,422"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2023M08,"2,558"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2023M02,"2,064"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2022M08,"2,233"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2022M02,"1,673"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2021M08,"1,789"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2021M02,"1,443"
Total Nacional,12 Galicia,27 Lugo,Viviendas turísticas,2020M08,"1,586"
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2025M05,"1,146"
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2024M11,"1,12"
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2024M08,"1,16"
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2024M02,"1,009"
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2023M08,924
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2023M02,790
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2022M08,792
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2022M02,671
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2021M08,669
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2021M02,592
Total Nacional,12 Galicia,32 Ourense,Viviendas turísticas,2020M08,637
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2025M05,"8,985"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2024M11,"8,721"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2024M08,"9,697"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2024M02,"7,792"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2023M08,"7,904"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2023M02,"6,293"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2022M08,"6,832"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2022M02,"5,37"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2021M08,"5,8"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2021M02,"4,827"
Total Nacional,12 Galicia,36 Pontevedra,Viviendas turísticas,2020M08,"5,362"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2025M05,"18,555"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2024M11,"20,76"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2024M08,"22,435"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2024M02,"19,456"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2023M08,"16,97"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2023M02,"16,351"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2022M08,"15,763"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2022M02,"15,241"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2021M08,"17,4"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2021M02,"17,802"
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,Viviendas turísticas,2020M08,"19,597"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2025M05,"7,939"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2024M11,"8,406"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2024M08,"8,646"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2024M02,"7,309"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2023M08,"6,952"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2023M02,"6,288"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2022M08,"6,133"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2022M02,"5,554"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2021M08,"5,741"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2021M02,"5,722"
Total Nacional,"14 Murcia, Región de",30 Murcia,Viviendas turísticas,2020M08,"6,146"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2025M05,"1,672"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2024M11,"1,679"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2024M08,"1,783"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2024M02,"1,583"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2023M08,"1,34"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2023M02,"1,236"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2022M08,"1,225"
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2022M02,936
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2021M08,993
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2021M02,993
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,Viviendas turísticas,2020M08,"1,071"
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2025M05,368
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2024M11,389
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2024M08,407
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2024M02,346
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2023M08,320
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2023M02,332
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2022M08,325
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2022M02,279
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2021M08,328
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2021M02,300
Total Nacional,16 País Vasco,01 Araba/Álava,Viviendas turísticas,2020M08,332
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2025M05,"2,863"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2024M11,"2,811"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2024M08,"2,947"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2024M02,"2,611"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2023M08,"2,545"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2023M02,"2,064"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2022M08,"2,074"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2022M02,"1,805"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2021M08,"1,928"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2021M02,"1,829"
Total Nacional,16 País Vasco,48 Bizkaia,Viviendas turísticas,2020M08,"2,025"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2025M05,"2,236"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2024M11,"2,273"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2024M08,"2,474"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2024M02,"2,183"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2023M08,"2,256"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2023M02,"1,957"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2022M08,"2,294"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2022M02,"1,911"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2021M08,"2,098"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2021M02,"1,887"
Total Nacional,16 País Vasco,20 Gipuzkoa,Viviendas turísticas,2020M08,"2,241"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2025M05,"1,36"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2024M11,"1,38"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2024M08,"1,403"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2024M02,"1,263"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2023M08,"1,228"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2023M02,"1,105"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2022M08,"1,155"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2022M02,"1,05"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2021M08,"1,11"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2021M02,"1,061"
Total Nacional,"17 Rioja, La","26 Rioja, La",Viviendas turísticas,2020M08,"1,139"
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2025M05,55
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2024M11,57
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2024M08,54
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2024M02,39
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2023M08,47
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2023M02,43
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2022M08,51
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2022M02,47
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2021M08,56
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2021M02,49
Total Nacional,18 Ceuta,51 Ceuta,Viviendas turísticas,2020M08,66
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2025M05,41
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2024M11,50
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2024M08,57
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2024M02,38
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2023M08,54
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2023M02,55
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2022M08,41
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2022M02,45
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2021M08,46
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2021M02,43
Total Nacional,19 Melilla,52 Melilla,Viviendas turísticas,2020M08,43